no,group,indicator,source,date,Edinburgh,Almond,Pentland Hills,Drum Brae Gyle,Forth,Inverleith,Corstorphine Murrayfield,Sighthill Gorgie,Colinton Fairmilehead,Fountainbridge Craiglockhart,Meadows Morningside,City Centre,Leith Walk,Leith ,Craigentinny Duddingston,Southside Newington,Liberton Gilmerton,Portobello Craigmillar,North West,Leith and East,City Centre and South,South West
177,Economic activity,Female: All persons 16 to 74,Census,2011-03,187705,9264,8855,8435,12636,12194,8572,14291,8868,9906,14455,10485,13485,9982,10101,14017,12575,9584,51101,43152,51532,41920
178,Economic activity,Female: Economically active,Census,2011-03,122768,6150,5538,5844,8344,8485,5797,9349,5823,6921,8779,6407,10349,7316,6685,7067,7918,5996,34620,30346,30171,27631
179,Economic activity,Female: Employees - part-time,Census,2011-03,32287,2162,2006,1958,2501,2026,1716,2388,2098,1444,1704,841,1844,1580,1978,1498,2592,1951,10363,7353,6635,7936
180,Economic activity,Female: Employees - full-time,Census,2011-03,64505,2934,2518,3069,4192,4837,3068,5205,2757,3974,4331,3262,6382,4400,3589,3114,4015,2858,18100,17229,14722,14454
181,Economic activity,Female: Self-employed,Census,2011-03,9577,566,369,351,579,911,543,350,472,448,861,778,729,553,419,689,462,497,2950,2198,2790,1639
182,Economic activity,Female: Unemployed,Census,2011-03,5408,203,196,206,566,280,174,647,213,229,269,266,461,333,286,270,446,363,1429,1443,1251,1285
183,Economic activity,Female: Full-time student - employed,Census,2011-03,10975,285,433,260,506,431,296,759,283,826,1614,1260,933,450,413,1496,403,327,1778,2123,4773,2301
184,Economic activity,Female: Economically inactive,Census,2011-03,64937,3114,3317,2591,4292,3709,2775,4942,3045,2985,5676,4078,3136,2666,3416,6950,4657,3588,16481,12806,21361,14289
185,Economic activity,Female: Retired ,Census,2011-03,24839,1806,1656,1457,1549,1850,1553,1635,1624,1123,1407,718,917,983,1691,1395,2060,1415,8215,5006,5580,6038
186,Economic activity,Female: Student,Census,2011-03,19074,371,771,304,588,711,384,1042,408,1154,3330,2612,993,411,462,4461,591,481,2358,2347,10994,3375
187,Economic activity,Female: Looking after home or family,Census,2011-03,11542,631,509,482,1162,741,562,1149,654,347,579,370,619,632,601,595,1041,868,3578,2720,2585,2659
188,Economic activity,Female: Long-term sick or disabled,Census,2011-03,6126,204,233,234,642,246,157,767,233,213,201,214,381,420,464,307,649,561,1483,1826,1371,1446
189,Economic activity,Female: Other,Census,2011-03,3356,102,148,114,351,161,119,349,126,148,159,164,226,220,198,192,316,263,847,907,831,771
190,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Long-term health condition,Very good health,Census,2011-03,274520,14873,13954,12531,17871,19151,13683,18882,14959,14504,22635,15185,18311,13572,13460,20518,17206,13225,78109,58568,75544,62299
212,Long-term health condition,Good health,Census,2011-03,135937,7121,6907,6582,9745,8231,6453,11602,6481,6709,8446,6536,9490,7439,7959,8766,10047,7423,38132,32311,33795,31699
213,Long-term health condition,Fair health,Census,2011-03,46505,2287,2104,2241,3850,2777,2104,4551,2050,2007,2269,1682,2882,2698,2925,2771,4166,3141,13259,11646,10888,10712
214,Long-term health condition,Bad health,Census,2011-03,14946,569,585,659,1322,751,575,1723,579,597,632,578,883,911,1035,858,1490,1199,3876,4028,3558,3484
215,Long-term health condition,Very bad health,Census,2011-03,4718,166,165,208,423,202,152,540,169,177,183,169,301,311,367,310,483,392,1151,1371,1145,1051
216,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Day to day activities,Limited a lot,Census,2011-03,34242,1510,1409,1678,2843,1955,1543,3381,1386,1301,1670,1132,1922,2018,2322,1991,3524,2657,9529,8919,8317,7477
218,Day to day activities,Limited a little,Census,2011-03,42585,2283,2148,2198,3242,2698,2128,3731,2188,1857,2352,1584,2436,2244,2749,2689,3370,2688,12549,10117,9995,9924
219,Day to day activities,Daily activities not limited,Census,2011-03,399799,21223,20158,18345,27126,26459,19296,30186,20664,20836,30143,21434,27509,20669,20675,28543,26498,20035,112449,88888,106618,91844
220,Day to day activities,Health is good or very good,Census,2011-03,410457,21994,20861,19113,27616,27382,20136,30484,21440,21213,31081,21721,27801,21011,21419,29284,27253,20648,116241,90879,109339,93998
221,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Highest qualification,All persons aged 16 and over,Census,2011-03,404424,20063,19463,18509,26470,26450,19144,31754,19383,21264,30146,22518,28666,21634,22104,29569,26952,20335,110636,92739,109185,91864
232,Highest qualification,"% Highest qual. - Std Grade / SVQ 1, 2",Census,2011-03,74970,4283,4215,4489,6362,3745,3664,7977,3911,2910,2361,2260,4284,4046,5156,3437,7010,4860,22543,18346,15068,19013
233,Highest qualification,% Highest qual. - Higher / SVQ 3,Census,2011-03,62021,3071,3317,2953,2956,3041,2757,4180,2779,3429,6482,4753,3544,2621,2945,7305,3325,2563,14778,11673,21865,13705
234,Highest qualification,"% Highest qual. - HND / SVQ 4, 5",Census,2011-03,30544,1765,1579,1662,2111,1766,1442,2532,1512,1646,1684,1484,2563,1983,1820,1557,1966,1472,8746,7838,6691,7269
235,Highest qualification,% Highest qual. - Degree,Census,2011-03,167583,7761,7054,5787,8390,14506,8364,9177,8337,10709,17733,12382,14465,8932,6881,14280,7189,5636,44808,35914,51584,35277
236,Highest qualification,% with no qualifications,Census,2011-03,69306,3183,3298,3618,6651,3392,2917,7888,2844,2570,1886,1639,3810,4052,5302,2990,7462,5804,19761,18968,13977,16600
237,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,
251,claimant count with rates and proportions ,Total claimants,Nomis,2014-12,6068,138,237,176,779,220,157,877,169,247,181,309,500,545,337,269,489,438,0,0,0,0
